Family;Genus;Species;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monioring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Connaraceae;Connarus;Connarus grandifolius;;;;;;29;15;3,13;;;;;;;15° 25' N;61° 20' W;;Dominica;Dasyprocta leporina;Agouti;Exclosure;;;;;;;2014;Taylor et al., 2014;"Taylor, B.; Ickes, K.; DeWalt, S.J. 2014. Seed removal by an introduced scatter-hoarder on a Caribbean island. Caribbean Journal of Science, 48(1):9-17."
Fabaceae;Andira;Andira macrocarpa;;;;;;;;3,2;;;;;;;;;;;Dasyprocta sp.;;;;;;;;;1996;Pennington (1996);Pennington, R. T. (1996). Molecular and morphological data provide phylogenetic resolution at different hierarchical levels in Andira. Systematic Biology, 45(4), 496-515.
Fagaceae;Quercus;Quercus oleoides;nut;20;;;1;;;3,4;0,8;16;;No;;;10° 50' N;85° 37' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Plant;;;;;;;;1981;Boucher, 1981;Boucher, D.H. 1981. Seed predation by mammals and forest dominance by Quercus oleoides, a tropical lowland oak. Oecologia 49(3), pp. 409-414.
Fagaceae;Quercus;Quercus oleoides;Nut;20;;;1;;;3,4;0,8;16;;No;10;29;10° 50' N;85° 37' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Agouti;Flagged line;;x;x;x;;;1995;Hallwachs, 1995;Hallwachs, W. (1995). The clumsy dance between agoutis and plants: Scatterhoarding by Costa Rican dry forest agoutis (Dasyprocta punctata: Dasyproctidae: Rodentia).
Fagaceae;Quercus;Quercus oleoides;nut;20;;;1;;;3,4;0,8;16;;No;;;;;;Costa Rica;Dasyprocta punctata;;;;;;;;;2008;Klemens et al. (2008);Klemens, J. A., Deacon, N. J., & Cavender-Bares, J. C. (2007). Understanding limits to pasture recolonization in a fragmented tropical dry forest: a case study of the tropical live oak Quercus oleoides with implications for restoration. Límites de comprensión de la recolonización de potreros en un bosque seco tropical fragmentado: un estudio de caso del roble tropical viviente Quercus oleoides con consecuencias para la restauración. In The Association for Tropical Biology & Conservation Annual Meeting, Morelia, MX, July 15-19, 2007..
Arecaceae;Socratea;Socratea exorrhiza;;30;17,5;;;35;20;3,6;0,26;20;18;;2;2;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Rodents/Plant;Flagged line;3 anos;x;x (0,4%);x;;;2013;Kuprewicz, 2013;Kuprewicz, E.K. 2013. Mammal abundances and seed traits control the seed dispersal and predation roles of terrestrial mammals in a Costa Rican forest. Biotropica 45(3), pp. 333-342.
Arecaceae;Socratea;Socratea exorrhiza;;30;17,5;;;35;20;3,6;0,26;20;18;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Agouti;Remoção da polpa/Armazenamento artificial/exposição de frutos para invertebrados (malha)/plantio de sementes com e sem infestação de insetos (teste de germinação);3 anos;x;x;x;x;;2015;Kuprewicz, 2015;Kuprewicz, E.K. 2015. Scatter hoarding of seeds confers survival advantages and disadvantages to large-seeded tropical plants at different life stages. PLoS ONE 10(5), e0124932.
Arecaceae;Socratea;Socratea exorrhiza;;30;17,5;;;35;20;3,6;0,26;20;18;;;;10° 26' N;84° 00' W;;Costa Rica;Dasyprocta punctata;Interaction;;;;;;;;2005;Notman & Villegas (2005);Notman,E.M.& Villegas,A.C.(2005). Patterns of seed predation by vertebrate versus invertebrate seed predators among different plant species, seasons and spatial distributions. In Seed Fate: Predation, Dispersal and Seedling Establishment (eds P. M. Forget,J.E. Lambert,P.E. Hulme andS.B. VanderWall), pp. 55–75. CABI Publishing, Wallingford.
Calophyllaceae;Calophyllum;Calophyllum longifolium;;;;;;;20;3,7;0,55;36;90;;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Mammals / Fragmentation;Flagged line;;;;;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Arecaceae;Iriartea;Iriartea deltoidea;;23,5;25;;;28;28;3,9;;25;;;6,5;22;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Rodents/Plant;Flagged line;3 anos;x;x (1%);x;;;2013;Kuprewicz, 2013;Kuprewicz, E.K. 2013. Mammal abundances and seed traits control the seed dispersal and predation roles of terrestrial mammals in a Costa Rican forest. Biotropica 45(3), pp. 333-342.
Arecaceae;Iriartea;Iriartea deltoidea;;23,5;25;;;28;28;3,9;;25;;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Agouti;;3 anos;x;x;x;x;;2015;Kuprewicz, 2015;Kuprewicz, E.K. 2015. Scatter hoarding of seeds confers survival advantages and disadvantages to large-seeded tropical plants at different life stages. PLoS ONE 10(5), e0124932.
Malvaceae;Sterculia;Sterculia caribaea;;;;;;24;15;3,9;0,45;30;;;;;15° 25' N;61° 20' W;;Dominica;Dasyprocta leporina;Agouti;;;;;;;;2014;Taylor et al., 2014;"Taylor, B.; Ickes, K.; DeWalt, S.J. 2014. Seed removal by an introduced scatter-hoarder on a Caribbean island. Caribbean Journal of Science, 48(1):9-17."
Myrtaceae;Eugenia;Eugenia multicostata;;30;27;10;1;25;24;4;;;;Yes;;;24° 16' S;48° 25' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant community;;;;;;;;2011;Galetti et al. (2011);Galetti, M., Pizo, M. A., & Morellato, L. P. C. (2011). Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest. Biota Neotropica, 11(1), 181-193.
Olacaceae;Minquartia;Minquartia guianensis;;;;;;;;4;0,87;;41;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;;;6 months;x;x;x;;;2000;Guariguata et al., 2000;"Guariguata, M.R.; Adame, J.J.R.; Finegan, B. 2000. Seed removal and fate in two selectively logged lowland forests with constrasting protection levels. Conservation Biology 14(4), pp. 1046-1054."
Fabaceae;Dioclea;Dioclea reflexa;;;;;;;;4,01;;;;;;;10° 26' N;84° 00' W;;Costa Rica;Dasyprocta punctata;Plant;Removal observation;;;;;;;2007;Peterson, 2007;Peterson, M. Seed toughness in Persea americana (Lauraceae) and Dioclea reflexa (Papilionaceae) and feeding behavior in agoutis (Dasyprocta punctata).
Arecaceae;Syagrus;Syagrus romanzoffiana;Drupe;42;25;;;16;21;4,1;0,812;25;38;Yes;;;27° 46' S;48° 33' W;;Brazil;Dasyprocta azarae;Plant;;;;;;;;2011;da Silva et al., 2011;"da Silva, Fernanda R.; Begnini, Romualdo M.; Lopes, Benedito C.; Castellani, Tania T. 2011 Seed Dispersal and Predation in the Palm Syagrus Romanzoffiana On Two Islands With Different Faunal Richness, Southern Brazil Studies on Neotropical Fauna and Environment"
Anarcadiaceae;Anacardium;Anacardium occidentale;Drupe;90;40;60;1;30;20;4,1;0,45;10;35;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Visual observation / Line;6 meses;;;;;x;1993;Forget, 1993;Forget, P.-M. 1993. Post-dispersal predation and scatterhoarding of Dipteryx panamensis (Papilionaceae) seeds by rodents in Panama. Oecologia 94(2), pp. 255-261.
Arecaceae;Syagrus;Syagrus romanzoffiana;Drupe;42;25;;;16;21;4,1;0,812;25;38;Yes;;;23° 27' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Line/Visual observation;;x;;;;;2010;Galetti et al., 2010;"Galetti, M.; Donatti, C.I.; Steffler, C.; Genini, J.; Bovendorp, R.S.; Fleury, M. 2010. The role of seed mass on the caching decision by agoutis, Dasyprocta leporina (Rodentia: Agoutidae). Zoologia 27(3), pp. 472-476."
Arecaceae;Syagrus;Syagrus romanzoffiana;Drupe;42;25;;;16;21;4,1;0,812;25;38;Yes;;;23° 31' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;;;;x;x;;;;2009;Genin et al., 2009;"Genini, Julieta; Galetti, Mauro; Morellato, L. Patricia C. 2009 Fruiting Phenology of Palms and Trees in An Atlantic Rainforest Land-bridge Island Flora"
Arecaceae;Syagrus;Syagrus romanzoffiana;Drupe;42;25;;;16;21;4,1;0,812;25;38;Yes;;;24° 16' S;48° 25' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant;Line;;;;;;x;2005;Guimarães Jr. et al., 2005b;Guimarães, P. R., Lopes, P. F., Lyra, M. L., & Muriel, A. P. (2005). Fleshy pulp enhances the location of Syagrus romanzoffiana (Arecaceae) fruits by seed-dispersing rodents in an Atlantic forest in south-eastern Brazil. Journal of Tropical Ecology, 21(1), 109-112.
Arecaceae;Syagrus;Syagrus romanzoffiana;Drupe;42;25;;;16;21;4,1;0,812;25;38;Yes;;;27° 42' S;48° 30' W;Atlantic Forest;Brazil;Dasyprocta azarae;Plant;Visual observation/ Bite marks on seeds;;x;x;;;;2011;Silva et al., 2011;"Silva, F.R.; Begnini, R.M.; Lopes, B.C.; Castellani, T.T. 2011. Seed dispersal and predation in the palm Syagrus romanzoffiana on two islands with different faunal richness, Southern Brazil. Studies on Neotropical Fauna and Environment 46(3), pp. 163-171."
Fagaceae;Quercus;Quercus humboldtii;;;;;;;;4,38;;;;;;;06° 05' N;73° 07' W;Humid Tropical Forest;Colombia;Dasyprocta punctata;Plant;;;x;x;;;;2010;Guerrero-Rodriguez et al. (2010);Guerrero-Rodríguez, S. B., Paz-Camacho, E. A., & Rosselli, Á. P. (2010). Efecto de la intervención antrópica en la distribución de las semillas y plántulas del roble (Quercus humboldtii Bonpl., Fagaceae) en la cordillera oriental colombiana. Colombia Forestal, 13(1), 163-180.
Meliaceae;Guarea;Guarea kunthiana;;40;40;;;20;10;4,5;0,82;25;60;Yes;14;58;10° 12' N;84° 42' W;Lower Montane Rainforest;Costa Rica;Dasyprocta punctata;Plant;Active search / Visual observation;;x;x;x;x;;1999;Wenny, 1999;Wenny, D.G. 1999. Two-stage dispersal of Guarea glabra and G. kunthiana (Meliaceae) in Monteverde, Costa Rica. Journal of Tropical Ecology 15(4), pp. 481-496.
Lauraceae;Beilschmiedia;Beilschmiedia pendula;;;;;;48,55;20,7;4,5;0,47;20;35;Yes;;;10° 12' N;84° 42' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Frugivores;Active search;;;;;;;2000;Wenny, 2000;Wenny, D.G. 2000. Seed dispersal of a high quality fruit by specialized frugivores: high quality dispersal? Biotropica 32(2): 327-337.
Myristicaceae;Otoba;Otoba novogranatensis;;;;;;;23;4,6;0,35;;;;;;8° 47' N;82° 57' W;;Costa Rica;Dasyprocta punctata;;;;x;x;x;x;;2009;Cole (2009);Cole, R. J. (2009). Postdispersal seed fate of tropical montane trees in an agricultural landscape, southern Costa Rica. Biotropica, 41(3), 319-327.
Myristicaceae;Virola;Virola kwatae;capsule;;;17,5;;28;18;4,8;0,46;20;60;No;;;5° 01' N;55° 34' W;Humid Tropical Forest;Suriname;Dasyprocta leporina;Plant;Line;;x;x;x;x;;2008;"Forget; Cuijpers, 2008";"Forget, P.-M; Cuijpers, L. 2008. Survival and scatterhoarding of frugivores-dispersed seeds as a function of forest disturbance. Biotropica 40(3), pp. 380-385."
Fabaceae;Hymenaea;Hymenaea courbaril;legume;123,2;45,6;125;4,5;31,5;15,9;4,9;0,96;35;90;Yes;;;7° 21' N;62° 52' W;florestas tropicais semidecíduas;Venezuela;Dasyprocta leporina;Agouti/Plant;Visual observation;;x;x;x;x;;1999;Asquith et al., 1999;"Asquith, N.M.; Terborgh, J.; Arnold, A.E.; Riveros, C.M. 1999. The fruits the agouti ate: Hymenaea courbaril seed fate when its disperser is absent. Journal of Tropical Ecology 15(2), pp. 229-235."
Fabaceae;Hymenaea;Hymenaea courbaril;legume;70;50;125;4,5;31,5;15,9;4,9;0,96;35;90;Yes;6,4;12;4° 55' S;73° 40' W;Amazon;Peru;Dasyprocta fuliginosa;Plant;Metal implants;;x;x;x;;;2004;Gorchov et al., 2004;"Gorchov, D.L.; Palmeirim, J.M.; Jaramillo, M.; Ascorra, C.F. 2004. Dispersal of seeds of Hymenaea courbaril (Fabaceae) in a logged rain forest in the Peruvian Amazonn. Acta Amazonica 34(2), pp. 251-259."
Fabaceae;Hymenaea;Hymenaea courbaril;legume;123,2;45,6;125;4,5;31,5;15,9;4,9;0,96;35;90;Yes;;;22° 55' S;47° 01' W;;Brazil;Dasyprocta leporina;Agouti;;2 meses;;;x;;;2005;Guimarães Jr. et al., 2005a;"Guimarães Jr., P.R.; Gomez, B.Z.; Ahn, Y.J.; Galetti, M. 2005. Cache pilferage in redrumped agoutis (Dasyprocta leporina) (Rodentia). Mammalia 69 (3-4): 427-430."
Fabaceae;Hymenaea;Hymenaea courbaril;legume;123,2;45,6;125;4,5;28;18;4,9;0,96;35;90;Yes;;;22° 55' S;47° 01' W;;Brazil;Dasyprocta leporina;Agouti/Plant;Visual observation;;x;x;x;;;2006;Guimarães Jr. et al., 2006;"Guimarães Jr., P.R.; Kubota, U.; Gomes, B.Z.; Fonseca, R.L.; Bottcher, C.; Galetti, M. 2006. Testing the quick meal hypothesis: The effect of pulp on hoarding and seed predation of Hymenaea courbaril by red-rumped agoutis (Dasyprocta leporina). Austral Ecology 31(1), pp. 95-98."
Fabaceae;Hymenaea;Hymenaea courbaril;legume;120;45;90;4,5;31,5;15,9;4,9;0,96;35;90;Yes;29;225;10° 26' N;84° 00' W;Oak forest/  Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Agouti/Plant;Spool and line;;x;x;x;x;;1986;Hallwachs, 1986;Hallwachs, W. 1986. Agoutis (Dasyprocta punctata): the inheritors of guapinol (Hymenaea courbaril: Leguminosae). Pp. 285±304 in Estrada A. & Fleming, T. H. (eds). Frugivores and seed dispersal. W. Junk Publishers, Dordrecht, Netherlands.
Clusiaceae;Tovomita;Tovomita plumieri;;;;;;39;15;4,9;;;;;;;15° 25' N;61° 20' W;;Dominica;Dasyprocta leporina;Agouti;;;;;;;;2010;Taylor et al., 2014;"Taylor, B.; Ickes, K.; DeWalt, S.J. 2014. Seed removal by an introduced scatter-hoarder on a Caribbean island. Caribbean Journal of Science, 48(1):9-17."
Arecaceae;Attalea;Attalea funifera;;125;60;;;;;4,9;;15;30;;;;14° 47' S;39° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant;;;;;;;;2002;Voeks (2002);Voeks, Robert A. “Reproductive Ecology of the Piassava Palm (Attalea Funifera) of Bahia, Brazil.” Journal of Tropical Ecology, vol. 18, no. 1, 2002, pp. 121–136
Meliaceae;Trichilia;Trichilia septentrionalis;;;;;;15;12;4,92;;20;;;;;15° 25' N;61° 20' W;;Dominica;Dasyprocta leporina;Agouti;Exclosure;;;;;;;2014;Taylor et al., 2014;"Taylor, B.; Ickes, K.; DeWalt, S.J. 2014. Seed removal by an introduced scatter-hoarder on a Caribbean island. Caribbean Journal of Science, 48(1):9-17."
Arecaceae;Astrocaryum;Astrocaryum paramaca;;37,5;22,5;;;;;5;;8;11;;;;;;;;Dasyprocta sp.;;;;x;x;;;;1991;Forget, 1991b;Forget, P.-M. 1991. Scatterhoarding of Astrocaryum paramaca by Proechimys in French Guiana: comparison with Myoprocta exilis. Trop. Ecol. 32: 155-167.
Fabaceae;Mucuna;Mucuna urens;;;;;;28;28;5,04;;30;;;9,06;35,9;27° 42' S;48° 30' W;Atlantic Forest;Brazil;Dasyprocta azarae;Plant;Spool and line;;x;x (48%);x (36%);;;2012;Zimmermann et al., 2012;"Zimmermann, T.G.; Begnini, R.M.; Castellani, T.T.; Lopes, B.C.; Reis, A. 2012. Consumo e dispersão secundária de sementes de Mucuna urens (Fabaceae) em Floresta Atlântica no Sul do Brasil. Rodriguésia 63(4), pp. 1139-1145."
Moraceae;Artocarpus;Artocarpus heterophyllus;;600;325;7000;;32,5;23,5;5,28;0,48;20;;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;x;x;x;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Moraceae;Artocarpus;Artocarpus heterophyllus;;600;325;7000;;32,5;23,5;5,28;0,48;20;;No;;;23° 27' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Line / Visual observation;;x;x;x;;;2010;Galetti et al., 2010;"Galetti, M.; Donatti, C.I.; Steffler, C.; Genini, J.; Bovendorp, R.S.; Fleury, M. 2010. The role of seed mass on the caching decision by agoutis, Dasyprocta leporina (Rodentia: Agoutidae). Zoologia 27(3), pp. 472-476."
Lauraceae;Ocotea;Ocotea endresiana;;;;;;;31;5,29;;;;;;;8° 47' N;82° 57' W;;Costa Rica;Dasyprocta punctata;;;;x;x;x;x;;2009;Cole (2009);Cole, R. J. (2009). Postdispersal seed fate of tropical montane trees in an agricultural landscape, southern Costa Rica. Biotropica, 41(3), 319-327.
Arecaceae;Attalea;Attalea maripa;;57;282;24,17;;40,74;18,1;5,88;;20;;Yes;;;03° 05' S;59° 58' W;Amazon;Brazil;Dasyprocta leporina;Interaction;;;;;;;;2019;Fernandes et al., 2019;FERNANDES, L. S., COSTA, E. R., de Menezes MEDEIROS, A. S., SOBROZA, T. V., & GORDO, M. (2019). VERTEBRATES AS POTENTIAL DISPERSERS OF PALM TREES IN AN URBAN ENVIRONMENT. Folia Amazónica, 28(1), 113-122.
Arecaceae;Attalea;Attalea maripa;;57;282;24,17;;40,74;18,1;5,88;;20;;Yes;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Rodents/Plant;Visual observation;;;;;;;2002;Silvius, 2002;Silvius, K.M. 2002. Spatio-temporal patterns of palm endocarp use by three Amazonn forest mammals: Granivory or 'grubivory'? Journal of Tropical Ecology 18(5), pp. 707-723.
Arecaceae;Attalea;Attalea maripa;;57;282;24,17;;40,74;18,1;5,88;;20;;Yes;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Lecythidaceae;Lecythis;Lecythis ampla;;;;;;;;6;0,82;40;110;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Outros animais;Exclosure / Line;6 meses;x;x;x;;;2000;Guariguata et al., 2000;"Guariguata, M.R.; Adame, J.J.R.; Finegan, B. 2000. Seed removal and fate in two selectively logged lowland forests with constrasting protection levels. Conservation Biology 14(4), pp. 1046-1054."
Fabaceae;Dipteryx;Dipteryx odorata;;;;;;;;6;0,92;;;;;;;;;Guyana;Dasyprocta leporina;;;;;;;;;1992;Polak (1992);Polak, A. M. (1992). Major timber trees of Guyana: a field guide.
Chrysobalanaceae;Licania;Licania platypus;Drupe;140;120;;1;100;60;6,3;0,69;50;80;Yes;;;19° 05' N;90° 45' W;floresta tropical;Mexico;Dasyprocta punctata;Plant;;;x;x>;;;;2016;"Camargo-Sanabria; Mendoza, 2016";"Camargo-Sanabria, A.A.; Mendoza, E. 2016. Interactions between terrestrial mammals and the fruits of two neotropical rainforest tree species. Acta Oecologica 73, pp. 45-52."
Euphorbiaceae;Joannesia;Joannesia princeps;;75,7;71,7;338;2;25;25;6,3;0,55;25;55;Yes;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;x;x;x;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Moraceae;Pseudolmedia;Pseudolmedia glabrata;;;;;;;26;6,3;;;;;;;8° 47' N;82° 57' W;;Costa Rica;Dasyprocta punctata;;;;x;x;x;x;;2009;Cole (2009);Cole, R. J. (2009). Postdispersal seed fate of tropical montane trees in an agricultural landscape, southern Costa Rica. Biotropica, 41(3), 319-327.
Chrysobalanaceae;Licania;Licania platypus;Drupe;140;120;;1;100;60;6,3;0,69;50;80;Yes;;;;;;;Dasyprocta sp.;;;;x;x;;;;1998;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Euphorbiaceae;Joannesia;Joannesia princeps;;75,7;71,7;338;2;25;25;6,3;0,55;25;55;Yes;19,3;71;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Spool and line;2 years;x;x;x;x;;2020;Mittelman et al, 2020;Mittelman, P., Kreischer, C., Pires, A. S., & Fernandez, F. A. Agouti reintroduction recovers seed dispersal of a large?seeded tropical tree. Biotropica.
Arecaceae;Acrocomia;Acrocomia aculeata;;42,5;35;;1;31,6;31,6;6,4;0,962;15;25;Yes;;;18° 59' S;56° 39' W;Pantanal;Brazil;Dasyprocta azarae;Agouti;;;;;;;;2013;Cid et al., 2013;"Cid, Bruno; Oliveira-Santos, Luiz Gustavo R.; Mourao, Guilherme 2013 Seasonal Habitat Use of Agoutis (dasyprocta Azarae) Is Driven by the Palm Attalea Phalerata in Brazilian Pantanal Biotropica"
Clusiaceae;Symphonia;Symphonia globulifera;;;;;;;;6,6;0,58;;;;;;5° 18' N;52° 53' W;;French Guiana;Dasyprocta leporina;Gene dispersal;;;x;x;;;;2006;Hardy et al. (2006);Hardy, O. J., Maggia, L., Bandou, E., Breyne, P., Caron, H., CHEVALLIER, M. H., ... & Troispoux, V. (2006). Fine?scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Molecular ecology, 15(2), 559-571.
Lecythidaceae;Eschweleira;Eschweilera ovata;;21;50;;2,5;30;20;6,6;0,965;18;55;Yes;;;13° 50' S;39° 10' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant;Visual observation/Line;;;;;;x;2012;Vilela et al., 2012;"Vilela, F.S.; Flesher, K.M.; Ramalho, M. 2012. Dispersal and predation of Eschweilera ovata seeds in the Atlantic Forest of Southern Bahia, Brazil. Journal of Tropical Ecology 28(2), pp. 223-226."
Lecythidaceae;Eschweilera;Eschweilera ovata;;21;50;;2,5;26;26;6,6;0,965;18;55;Yes;;;13° 49' S;39° 08' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant;Line;;x;x;x;;;2008;Vilela, F. D. S, 2008;Vilela, F. D. S. (2008). Influência da predação e da dispersão de sementes sobre o recrutamento de plântulas de biriba (Eschweilera ovata, Lecythidaceae), na Atlantic Forest, Reserva Ecológica da Michelin, BA.
Lecythidaceae;Bertholletia;Bertholletia excelsa;Pixide;100;110;1500;20;40;20;6,7;0,75;65;150;No;8;50;4° 14' S;62° 23' W;Amazon;Brazil;Dasyprocta fuliginosa;Agouti/Plant;Flagged line;;x;x;x;;;2010;Tuck Haugaasen et al., 2010;"Tuck Haugaasen, J.M.; Haugaasen, T.; Peres, C.A.; Gribel, R.; Wegge, P. 2010. Seed dispersal of the Brazil nut tree (Bertholletia excelsa) by scatter-hoarding rodents in a central Amazonn forest.  Journal of Tropical Ecology 26 (3), pp. 251-262."
Clusiaceae;Moronobea;Moronobea coccinea;Drupe;40;30;;;35;25;6,8;0,83;;;Yes;;;5° 18' N;52° 53' W;Amazon;French Guiana;Dasyprocta leporina;;;;x;x;;;;1991;Forget, 1991;Forget,P.M.(1991). Comparative recruitment patterns oftwo non-pioneer canopy tree species in French Guiana. Oecologia 85, 434–439
Fabaceae;Parkia;Parkia multijuga;legume;250;80;100;14;45;20;7;0,4;;;Yes;14,2;64;03° 08' S;59° 52' W;Amazon;Brazil;Dasyprocta leporina;Interaction;Metal implants;;x;x;x;;;2019;Alves. 2019;Alves, M. M. (2019). Parkia multijuga (fabaceae): interações multi-espécie e estratégias que maximizam a sobrevivência nos estágios iniciais de sua história de vida.
Lauraceae;Ocotea;Ocotea whitei;;;;;;40;;7,3;;25;;;;;10° 18' N;84° 48' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Other animals;Visual observation;;;;;;;2009;Chinchilla, 2009;Chinchilla, F.A. 2009. Seed predation by mammals in forest fragments in Monteverde, Costa Rica. Revista de Biologia Tropical 57(3), pp. 865-877.
Araucariaceae;Araucaria;Araucaria angustifolia;;140;140;3000;100;48;19;7,4;0,55;50;95;No;;;25° 00' S;53° 28' W;Atlantic Forest;Brazil;Dasyprocta azarae;Plant;;;x;x;x;x;;2018;Brocardo et al. 2018;"Brocardo, C.R.; Pedrosa, F.; Galetti, M. 2018. Forest fragmentation and selective logging affect the seed survival and recruitment of a relictual conifer. Forest Ecology and Management 408, pp. 87-93."
Arecaceae;Astrocaryum;Astrocaryum murumuru;Drupe;72,5;22,5;;;40;25;7,4;;15;;Yes;;;11° 54' S;71° 19' W;Amazon;Peru;Dasyprocta variegata;Plant;;;x;x;;;;1997;Cintra & Horna (1997);"Cintra, R.; Horna, V. 1997 Seed and Seedling Survival of the Palm Astrocaryum Murumuru and the Legume Tree Dipteryx Micrantha in Gaps in Amazonian Forest Journal of Tropical Ecology"
Fabaceae;Eperua;Eperua falcata;;;;;;41;27;7,4;0,72;;;Yes;10;30;5° 18' N;52° 53' W;Amazon;French Guiana;Dasyprocta leporina;;Active search / Visual observation;;x;x;;;;1989;Forget, 1989;Forget, P. (1989). La Regeneration Naturelle D'une Espece Autochore de La Foret Guyanaise: Eperua falcata Aublet (Caesalpiniaceae). Biotropica, 21(2), 115-125. doi:10.2307/2388702
Araucariaceae;Araucaria;Araucaria angustifolia;;140;140;3000;100;48;19;7,4;0,55;50;95;No;9,4;59;28° 14' S;51° 11' W;;Brazil;Dasyprocta azarae;Agouti/Plant;Spool and line;;x;x;x;;;2014;"Ribeiro; Vieira; 2014";"Ribeiro, J.F.; Vieira, E.M. 2014. Interactions between a seed-eating neotropical rodent, the Azara's agouti (Dasyprocta azarae), and the Brazilian 'pine' Araucaria angustifolia. Austral Ecology 39(3), pp. 279-287."
Araucariaceae;Araucaria;Araucaria angustifolia;;140;140;3000;100;48;19;7,4;0,55;50;95;No;;;28° 14' S;51° 11' W;;Brazil;Dasyprocta azarae;Agouti;Visual observation;;x;x;x (4,7%);;;2016;"Ribeiro; Vieira; 2016";"Ribeiro, J.F.; Vieira, E.M. 2016. Microhabitat selection for caching and use of potential landmarks for seed recovery by a neotropical rodent. Journal of Zoology 300(4), pp. 274-280."
