Family;Genus;Species;Taxonomic.status;UpdatedFamily;Checked_Genus;Checked_Epithet;UpdatedPlantSpecies;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Wood density level;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monitoring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Apocynaceae;Hancornia;Hancornia speciosa;Accepted;Apocynaceae;Hancornia;speciosa;Hancornia speciosa;;;;;;;;0,33;;Species;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Rutaceae;Hortia;Hortia brasiliana;Accepted;Rutaceae;Hortia;brasiliana;Hortia brasiliana;;12;12;;;7;4;0,05;1,02;Species;20;15;No;;;8° 00' S;35° 00' W;Atlantic Forest;Brazil;Dasyprocta prymnolopha;Plant;Visual observation;;x;N;;;;2003;"Melo; Tabarelli, 2003";"Melo, F.P.L.; Tabarelli, M. 2003. Seed Dispersal and Demography of Pioneer Trees: The Case of Hortia arborea. Plant Biology 5(4), pp. 359-365."
Sapindaceae;Melicoccus;Melicoccus lepidopetalus;Accepted;Sapindaceae;Melicoccus;lepidopetalus;Melicoccus lepidopetalus;;;;;;;;1,3;0,98;Species;18;;;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Lecythidaceae;Eschweleira;Eschweilera ovata;Accepted;Lecythidaceae;Eschweilera;ovata;Eschweilera ovata;;21;50;;2,5;30;20;6,6;0,965;Species;18;55;Yes;;;13° 50' S;39° 10' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant;Visual observation/Line;;;;;;x;2012;Vilela et al., 2012;"Vilela, F.S.; Flesher, K.M.; Ramalho, M. 2012. Dispersal and predation of Eschweilera ovata seeds in the Atlantic Forest of Southern Bahia, Brazil. Journal of Tropical Ecology 28(2), pp. 223-226."
Lecythidaceae;Eschweilera;Eschweilera ovata;Accepted;Lecythidaceae;Eschweilera;ovata;Eschweilera ovata;;21;50;;2,5;26;26;6,6;0,965;Species;18;55;Yes;;;13° 49' S;39° 08' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant;Line;;x;x;x;;;2008;Vilela, F. D. S, 2008;Vilela, F. D. S. (2008). Influência da predação e da dispersão de sementes sobre o recrutamento de plântulas de biriba (Eschweilera ovata, Lecythidaceae), na Atlantic Forest, Reserva Ecológica da Michelin, BA.
Arecaceae;Acrocomia;Acrocomia aculeata;Accepted;Arecaceae;Acrocomia;aculeata;Acrocomia aculeata;;42,5;35;;1;31,6;31,6;6,4;0,962;Species;15;25;Yes;;;18° 59' S;56° 39' W;Pantanal;Brazil;Dasyprocta azarae;Agouti;;;;;;;;2013;Cid et al., 2013;"Cid, Bruno; Oliveira-Santos, Luiz Gustavo R.; Mourao, Guilherme 2013 Seasonal Habitat Use of Agoutis (dasyprocta Azarae) Is Driven by the Palm Attalea Phalerata in Brazilian Pantanal Biotropica"
Lythraceae;Lafoensia;Lafoensia glyptocarpa;Accepted;Lythraceae;Lafoensia;glyptocarpa;Lafoensia glyptocarpa;;42;30;;;20;10;0,02;0,96;Species;25;45;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Sapotaceae;Pouteria;Pouteria guianensis;Accepted;Sapotaceae;Pouteria;guianensis;Pouteria guianensis;;;;;;;;3,3535;0,924375;Species;40;;;;;1° 59' N;59° 43' W;Amazon;Guyana;Dasyprocta leporina;Plants;;;;;;;;2018;Cummings et al., 2018;Cummings, A. R., Read, J. M., & Fragoso, J. M. (2018). Implications of forest type and land tenure diversity for the sustainability of ecosystem services provided by northern Amazonia’s multiple-use tree species. Landscape ecology, 33(3), 423-438.
Fabaceae;Dipteryx;Dipteryx odorata;Accepted;Leguminosae;Dipteryx;odorata;Dipteryx odorata;;;;;;;;6;0,92;Species;37;;;;;;;;Guyana;Dasyprocta leporina;;;;;;;;;1992;Polak (1992);Polak, A. M. (1992). Major timber trees of Guyana: a field guide.
Fabaceae;Vouacapoua;Vouacapoua americana;Accepted;Leguminosae;Vouacapoua;americana;Vouacapoua americana;;72;40;48,2;;49;34;32,6;0,91;Species;45;75;Yes;7;22,4;4° 02' N;52° 42' W;;French Guian;Dasyprocta leporina;Rodents/Plant;Flagged line;;x;x;x;x;;1990;Forget, 1990;Forget, P.-M. 1990. Seed-dispersal of Vouacapoua americana (Caesalpiniaceae) by caviomorph rodents in french guiana. Journal of Tropical Ecology 6(4), pp. 459-468.
Sapotaceae;Pouteria;Pouteria sapota;Accepted;Sapotaceae;Pouteria;sapota;Pouteria sapota;;200;80;;;100;;28,6;0,9;Species;30;;No;15;93;16° 34' N;88° 43' W;floresta úmida de baixa altitude/floresta tropical sazonal de várzea;Belize;Dasyprocta punctata;Other animals;Active search / Visual observation;;x;x;x;;;1999;"Brewer; Rejmánek, 1999";"Brewer, S.W.; Rejmánek, M. 1999. Small rodents as significant dispersers of tree seeds in a Neotropical forest. Journal of Vegetation Science 10(2), pp. 165-174."
Sapotaceae;Pouteria;Pouteria sapota;Accepted;Sapotaceae;Pouteria;sapota;Pouteria sapota;;200;80;;;100;;28,6;0,9;Species;30;;No;;;19° 05' N;90° 45' W;floresta tropical;Mexico;Dasyprocta punctata;Plant;;;x;x;;;;2016;"Camargo-Sanabria; Mendoza, 2016";"Camargo-Sanabria, A.A.; Mendoza, E. 2016. Interactions between terrestrial mammals and the fruits of two neotropical rainforest tree species. Acta Oecologica 73, pp. 45-52."
Sapotaceae;Pouteria;Pouteria surumuensis;Accepted;Sapotaceae;Pouteria;surumuensis;Pouteria surumuensis;;;;;;40;;;0,9;Species;30;;;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Chrysobalanaceae;Licania;Licania alba;Accepted;Chrysobalanaceae;Licania;alba;Licania alba;;;;;;;;10,2;0,89;Species;31;;;;;1° 59' N;59° 43' W;Amazon;Guyana;Dasyprocta leporina;Plants;;;;;;;;2018;Cummings et al., 2018;Cummings, A. R., Read, J. M., & Fragoso, J. M. (2018). Implications of forest type and land tenure diversity for the sustainability of ecosystem services provided by northern Amazonia’s multiple-use tree species. Landscape ecology, 33(3), 423-438.
Chrysobalanaceae;Licania;Licania alba;Accepted;Chrysobalanaceae;Licania;alba;Licania alba;;;;;;;;10,2;0,89;Species;31;;;;;4° 05' N;52° 41' W;;French Guyana;Dasyprocta leporina;;;;x;x;x;;;2001;Jansen & Forget, 2001;Jansen,P.A.& Forget,P.M.(2001). Scatterhoarding rodents and tree regeneration. In Nouragues: Dynamics and Plant-Animal Interactions in a Neotropical Rainforest (eds F. Bongers,P. Charles-Dominique,P.M. Forget and M. Th´ery), pp. 275–288. Monographiae Biologicae, vol 80. Springer, Dordrecht
Chrysobalanaceae;Licania;Licania kunthiana;Accepted;Chrysobalanaceae;Licania;kunthiana;Licania kunthiana;;31,6;21,4;;;12;10;;0,88;Species;45;50;;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Rhamnaceae;Ziziphus;Ziziphus thyrsiflora;Accepted;Rhamnaceae;Ziziphus;thyrsiflora;Ziziphus thyrsiflora;;;;;;;;;0,88;Genus;;;;;;03° 02' S;79° 14' W;;Ecuador;Dasyprocta punctata;;;;x;x;;;;2011;Jara-Guerrero et al. (2011);Jara?Guerrero, A., De la Cruz, M., & Méndez, M. (2011). Seed dispersal spectrum of woody species in south Ecuadorian dry forests: environmental correlates and the effect of considering species abundance. Biotropica, 43(6), 722-730.
Fabaceae;Dipteryx;Dipteryx oleifera;Accepted;Leguminosae;Dipteryx;oleifera;Dipteryx oleifera;;60;30;25,2;1;50;30;10,3;0,87;Species;50;110;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest e semidecídua de vários estágios sucessionais;Panama;Dasyprocta punctata;Agouti;;;x;x;;;;2008;Aliaga-Rossel et al., 2008;"Aliaga-Rossel, E.; Kays, R.W.; Fragoso, J.M.V. 2008. Home-range use by the Central American agouti (Dasyprocta punctata) on Barro Colorado Island, Panama. Journal of Tropical Ecology 24(4), pp. 367-374."
Fabaceae;Dipteryx;Dipteryx oleifera;Accepted;Leguminosae;Dipteryx;oleifera;Dipteryx oleifera;;60;30;25,2;1;50;30;10,3;0,87;Species;50;110;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;Exclosure;;x;x;;x;;1997;Asquith et al., 1997;"Asquith, N.M.; Wright, S.J.; Clauss, M.J. 1997. Does mammal community composition control recruitment in neotropical forests? Evidence from Panama. Ecology 78(3), pp. 941-946."
Fabaceae;Dipteryx;Dipteryx oleifera;Accepted;Leguminosae;Dipteryx;oleifera;Dipteryx oleifera;;60;30;25,2;1;50;30;10,3;0,87;Species;50;110;Yes;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Mammals / Fragmentation;;;x;x;;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Fabaceae;Dipteryx;Dipteryx oleifera;Accepted;Leguminosae;Dipteryx;oleifera;Dipteryx oleifera;;60;30;25,2;1;50;30;10,3;0,87;Species;50;110;Yes;;50;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;Active search / Visual observation;;x;x;;;;1980;Bonaccorso et al., 1980;"Bonaccorso, F. J.; Glanz, W. E.; Sandfort, C. M. 1980. Feeding Assemblages of Mammals at Fruiting Dipteryx panamensis (Papilionaceae) Trees in Panama: seed predation dispersal and parasitism. Rev. Biol. Trop., 28(1):61-72."
Fabaceae;Dipteryx;Dipteryx oleifera;Accepted;Leguminosae;Dipteryx;oleifera;Dipteryx oleifera;;60;30;25,2;1;50;30;10,3;0,87;Species;50;110;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Visual observation/ Line;6 meses;x;x;x;x;;1993;Forget, 1993;Forget, P.-M. 1993. Post-dispersal predation and scatterhoarding of Dipteryx panamensis (Papilionaceae) seeds by rodents in Panama. Oecologia 94(2), pp. 255-261.
Fabaceae;Dipteryx;Dipteryx oleifera;Accepted;Leguminosae;Dipteryx;oleifera;Dipteryx oleifera;;60;30;25,2;1;50;30;10,3;0,87;Species;50;110;Yes;;;;;;;Dasyprocta sp.;;;;x;x;;;;1993;Forget, 1994;"Forget, P.-M.; Munoz, E.; Leigh Jr, E.G. 1994. Predation by rodents and bruchid beetles on seeds of Scheelea palms on Barro Colorado Island, Panama. Biotropica 26(4), pp. 420-426."
Fabaceae;Dipteryx;Dipteryx oleifera;Accepted;Leguminosae;Dipteryx;oleifera;Dipteryx oleifera;;60;30;25,2;1;50;30;10,3;0,87;Species;50;110;Yes;3,6;22;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Rodents/Plant;Flagged line;3 anos;x;x (3%);x;;;2013;Kuprewicz, 2013;Kuprewicz, E.K. 2013. Mammal abundances and seed traits control the seed dispersal and predation roles of terrestrial mammals in a Costa Rican forest. Biotropica 45(3), pp. 333-342.
Fabaceae;Dipteryx;Dipteryx oleifera;Accepted;Leguminosae;Dipteryx;oleifera;Dipteryx oleifera;;60;30;25,2;1;50;30;10,3;0,87;Species;50;110;Yes;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Agouti;;3 anos;x;x;x;x;;2015;Kuprewicz, 2015;Kuprewicz, E.K. 2015. Scatter hoarding of seeds confers survival advantages and disadvantages to large-seeded tropical plants at different life stages. PLoS ONE 10(5), e0124932.
Fabaceae;Dipteryx;Dipteryx oleifera;Accepted;Leguminosae;Dipteryx;oleifera;Dipteryx oleifera;;60;30;25,2;1;50;30;10,3;0,87;Species;50;110;Yes;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Agouti/Plant;Visual observation;2 meses;x;x;;;;1987;"Larson; Howe, 1987";"Larson, D.; Howe, H.F. 1987. Seed dispersal and destruction of Virola surinamensis seeds by agoutis: Appearance and reality. J. Mammalogy 68(4), pp. 859-860."
Fabaceae;Dipteryx;Dipteryx oleifera;Accepted;Leguminosae;Dipteryx;oleifera;Dipteryx oleifera;;60;30;25,2;1;50;30;10,3;0,87;Species;50;110;Yes;;;11° 54' S;71° 19' W;;Peru;Dasyprocta variegata;Frugivores/Plant;Exclosure;;;;;x;;1994;"Terborgh; Wright, 1994";"Terborgh, J.; Wright, S.J. 1994. Effects of mammalian herbivores on plant recruitment in two neotropical forests. Ecology 75(6), pp. 1829-1833."
Fabaceae;Dipteryx;Dipteryx micrantha;Accepted;Leguminosae;Dipteryx;micrantha;Dipteryx micrantha;;60;35;;;;;21,5;0,87;Species;45;;;;;11° 54' S;71° 19' W;Amazon;Peru;Dasyprocta variegata;Plant;;;x;x;;;;1997;Cintra & Horna (1997);"Cintra, R.; Horna, V. 1997 Seed and Seedling Survival of the Palm Astrocaryum Murumuru and the Legume Tree Dipteryx Micrantha in Gaps in Amazonian Forest Journal of Tropical Ecology"
Olacaceae;Minquartia;Minquartia guianensis;Accepted;Olacaceae;Minquartia;guianensis;Minquartia guianensis;;;;;;;;4;0,87;Species;37;41;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;;;6 months;x;x;x;;;2000;Guariguata et al., 2000;"Guariguata, M.R.; Adame, J.J.R.; Finegan, B. 2000. Seed removal and fate in two selectively logged lowland forests with constrasting protection levels. Conservation Biology 14(4), pp. 1046-1054."
Myrtaceae;Psidium;Psidium nutans;Accepted;Myrtaceae;Psidium;nutans;Psidium nutans;;;;;;;;0,016;0,87;Genus;;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Lauraceae;Chlorocardium;Chlorocardium rodiei;Accepted;Lauraceae;Chlorocardium;rodiei;Chlorocardium rodiei;;;;;;;;65,5;0,86;Species;30;;;;;1° 59' N;59° 43' W;Amazon;Guyana;Dasyprocta leporina;Plants;;;;;;;;2018;Cummings et al., 2018;Cummings, A. R., Read, J. M., & Fragoso, J. M. (2018). Implications of forest type and land tenure diversity for the sustainability of ecosystem services provided by northern Amazonia’s multiple-use tree species. Landscape ecology, 33(3), 423-438.
Lauraceae;Chlorocardium;Chlorocardium rodiei;Accepted;Lauraceae;Chlorocardium;rodiei;Chlorocardium rodiei;;;;;;;;65,5;0,86;Species;30;;;;;5° 13' N;58° 48' W;;Guyana;Dasyprocta leporina;;;;;;;;;1999;Hammond et al. (1999);Hammond, D. S., Brown, V. K., & Zagt, R. (1999). Spatial and temporal patterns of seed attack and germination in a large-seeded neotropical tree species. Oecologia, 119(2), 208-218.
Caryocaraceae;Caryocar;Caryocar brasiliense;Accepted;Caryocaraceae;Caryocar;brasiliense;Caryocar brasiliense;Drupe;;;;;;;20,1;0,86;Species;;;;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Caryocaraceae;Caryocar;Caryocar brasiliense;Accepted;Caryocaraceae;Caryocar;brasiliense;Caryocar brasiliense;Drupe;;;;;;;20,1;0,86;Species;;;;;;07° 11' S;39° 36' W;Cerrado;Brazil;Dasyprocta prymnolopha;Plant;;;x;x;;;;1986;Gribel, 1986;Gribel, R. (1986). Ecologia da polinização e da dispersão de Caryocar brasiliense Camb. (Caryocaraceae) na região do Distrito Federal (M Sc.Dissertation). Universidade de Brasília, Brasília
Fabaceae;Hymenaea;Hymenaea oblongifolia;Accepted;Leguminosae;Hymenaea;oblongifolia;Hymenaea oblongifolia;legume;55;39;;;;;3,1;0,86;Species;35;;Yes;;;01° 27' S;48° 30' W;Amazon;Brazil;Dasyprocta leporina;Plant;Visual observation;;x;x;x;;;1995;Almeida & Ribeiro, 1995;Almeida, S. S. D., & Ribeiro, M. S. (1995). Evidencias de dispersao de sementes mediada por mamíferos caviomorfos em Hymenaea Oblongifolia Huber
Fabaceae;Dipteryx;Dipteryx oleifera;Accepted;Leguminosae;Dipteryx;oleifera;Dipteryx oleifera;;;;;1;50;30;10,3;0,84;Species;40;150;Yes;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Other;;;x;x;x;;;1970;Smythe, 1970;Smythe, N. 1970. Relationships between fruiting seasons and seed dispersal methods in a Neotropical Forest. The American Naturalist 104(935), pp. 25-35.
;Manilkara;Manilkara bidentata;Accepted;Sapotaceae;Manilkara;bidentata;Manilkara bidentata;;;;;;2,25;1,6;1,8;0,84;Species;45;;;;;1° 59' N;59° 43' W;Amazon;Guyana;Dasyprocta leporina;Plants;;;;;;;;2018;Cummings et al., 2018;Cummings, A. R., Read, J. M., & Fragoso, J. M. (2018). Implications of forest type and land tenure diversity for the sustainability of ecosystem services provided by northern Amazonia’s multiple-use tree species. Landscape ecology, 33(3), 423-438.
Clusiaceae;Moronobea;Moronobea coccinea;Accepted;Clusiaceae;Moronobea;coccinea;Moronobea coccinea;Drupe;40;30;;;35;25;6,8;0,83;Species;36;;Yes;;;5° 18' N;52° 53' W;Amazon;French Guiana;Dasyprocta leporina;;;;x;x;;;;1991;Forget, 1991;Forget,P.M.(1991). Comparative recruitment patterns oftwo non-pioneer canopy tree species in French Guiana. Oecologia 85, 434–439
Meliaceae;Guarea;Guarea kunthiana;Accepted;Meliaceae;Guarea;kunthiana;Guarea kunthiana;;40;40;;;20;10;4,5;0,82;Species;30;60;Yes;14;58;10° 12' N;84° 42' W;Lower Montane Rainforest;Costa Rica;Dasyprocta punctata;Plant;Active search / Visual observation;;x;x;x;x;;1999;Wenny, 1999;Wenny, D.G. 1999. Two-stage dispersal of Guarea glabra and G. kunthiana (Meliaceae) in Monteverde, Costa Rica. Journal of Tropical Ecology 15(4), pp. 481-496.
Lecythidaceae;Lecythis;Lecythis ampla;Accepted;Lecythidaceae;Lecythis;ampla;Lecythis ampla;;;;;;;;6;0,82;Species;46;110;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Outros animais;Exclosure / Line;6 meses;x;x;x;;;2000;Guariguata et al., 2000;"Guariguata, M.R.; Adame, J.J.R.; Finegan, B. 2000. Seed removal and fate in two selectively logged lowland forests with constrasting protection levels. Conservation Biology 14(4), pp. 1046-1054."
Arecaceae;Syagrus;Syagrus romanzoffiana;Accepted;Arecaceae;Syagrus;romanzoffiana;Syagrus romanzoffiana;Drupe;42;25;;;16;21;4,1;0,812;Species;28;38;Yes;;;27° 46' S;48° 33' W;;Brazil;Dasyprocta azarae;Plant;;;;;;;;2011;da Silva et al., 2011;"da Silva, Fernanda R.; Begnini, Romualdo M.; Lopes, Benedito C.; Castellani, Tania T. 2011 Seed Dispersal and Predation in the Palm Syagrus Romanzoffiana On Two Islands With Different Faunal Richness, Southern Brazil Studies on Neotropical Fauna and Environment"
Arecaceae;Syagrus;Syagrus romanzoffiana;Accepted;Arecaceae;Syagrus;romanzoffiana;Syagrus romanzoffiana;Drupe;42;25;;;16;21;4,1;0,812;Species;28;38;Yes;;;23° 27' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Line/Visual observation;;x;;;;;2010;Galetti et al., 2010;"Galetti, M.; Donatti, C.I.; Steffler, C.; Genini, J.; Bovendorp, R.S.; Fleury, M. 2010. The role of seed mass on the caching decision by agoutis, Dasyprocta leporina (Rodentia: Agoutidae). Zoologia 27(3), pp. 472-476."
Arecaceae;Syagrus;Syagrus romanzoffiana;Accepted;Arecaceae;Syagrus;romanzoffiana;Syagrus romanzoffiana;Drupe;42;25;;;16;21;4,1;0,812;Species;28;38;Yes;;;23° 31' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;;;;x;x;;;;2009;Genin et al., 2009;"Genini, Julieta; Galetti, Mauro; Morellato, L. Patricia C. 2009 Fruiting Phenology of Palms and Trees in An Atlantic Rainforest Land-bridge Island Flora"
Arecaceae;Syagrus;Syagrus romanzoffiana;Accepted;Arecaceae;Syagrus;romanzoffiana;Syagrus romanzoffiana;Drupe;42;25;;;16;21;4,1;0,812;Species;28;38;Yes;;;24° 16' S;48° 25' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant;Line;;x;;;;x;2005;Guimarães Jr. et al., 2005b;Guimarães, P. R., Lopes, P. F., Lyra, M. L., & Muriel, A. P. (2005). Fleshy pulp enhances the location of Syagrus romanzoffiana (Arecaceae) fruits by seed-dispersing rodents in an Atlantic forest in south-eastern Brazil. Journal of Tropical Ecology, 21(1), 109-112.
Arecaceae;Syagrus;Syagrus romanzoffiana;Accepted;Arecaceae;Syagrus;romanzoffiana;Syagrus romanzoffiana;Drupe;42;25;;;16;21;4,1;0,812;Species;28;38;Yes;;;29° 40' S;53° 44' W;Deciduous seasonal forest;Brazil;Dasyprocta azarae;Plant;Track trap;;x;;;;x;2010;Roman et al., 2010;Roman, C., Neto, L. T., & Cáceres, N. C. (2010). Fruit manipulation of the palm Syagrus romanzoffiana by vertebrates in southern Brazil. Neotropical Biology and Conservation, 5(2), 101-105.
Arecaceae;Syagrus;Syagrus romanzoffiana;Accepted;Arecaceae;Syagrus;romanzoffiana;Syagrus romanzoffiana;Drupe;42;25;;;16;21;4,1;0,812;Species;28;38;Yes;;;27° 42' S;48° 30' W;Atlantic Forest;Brazil;Dasyprocta azarae;Plant;Visual observation/ Bite marks on seeds;;x;x;;;;2011;Silva et al., 2011;"Silva, F.R.; Begnini, R.M.; Lopes, B.C.; Castellani, T.T. 2011. Seed dispersal and predation in the palm Syagrus romanzoffiana on two islands with different faunal richness, Southern Brazil. Studies on Neotropical Fauna and Environment 46(3), pp. 163-171."
Fagaceae;Quercus;Quercus oleoides;Accepted;Fagaceae;Quercus;oleoides;Quercus oleoides;nut;20;;;1;;;3,4;0,8;Species;16;;No;;;10° 50' N;85° 37' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Plant;;;;;;;;1981;Boucher, 1981;Boucher, D.H. 1981. Seed predation by mammals and forest dominance by Quercus oleoides, a tropical lowland oak. Oecologia 49(3), pp. 409-414.
Fagaceae;Quercus;Quercus oleoides;Accepted;Fagaceae;Quercus;oleoides;Quercus oleoides;Nut;20;;;1;;;3,4;0,8;Species;16;;No;10;29;10° 50' N;85° 37' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Agouti;Flagged line;;x;x;x;;;1995;Hallwachs, 1995;Hallwachs, W. (1995). The clumsy dance between agoutis and plants: Scatterhoarding by Costa Rican dry forest agoutis (Dasyprocta punctata: Dasyproctidae: Rodentia).
Fagaceae;Quercus;Quercus oleoides;Accepted;Fagaceae;Quercus;oleoides;Quercus oleoides;nut;20;;;1;;;3,4;0,8;Species;16;;No;;;;;;Costa Rica;Dasyprocta punctata;;;;;;;;;2008;Klemens et al. (2008);Klemens, J. A., Deacon, N. J., & Cavender-Bares, J. C. (2007). Understanding limits to pasture recolonization in a fragmented tropical dry forest: a case study of the tropical live oak Quercus oleoides with implications for restoration. Límites de comprensión de la recolonización de potreros en un bosque seco tropical fragmentado: un estudio de caso del roble tropical viviente Quercus oleoides con consecuencias para la restauración. In The Association for Tropical Biology & Conservation Annual Meeting, Morelia, MX, July 15-19, 2007..
Sapotaceae;Pouteria;Pouteria campechiana;Accepted;Sapotaceae;Pouteria;campechiana;Pouteria campechiana;;;;;;23;13;1,35;0,79;Species;20;;;11,2;18,4;20° 01' N;88° 20' W;;Mexico;Dasyprocta punctata;Rodents/Plant;Flagged line;;x;x;x;x;;2011;Gutiérrez-Granados, 2011;Gutiérrez-Granados, G. 2011. Effect of logging on rodent scatter-hoarding dynamics in tropical forests: Implications for plant recruitment. Integrative Zoology 6(2), pp. 74-80.
Fabaceae;Swartzia;Swartzia simplex;Accepted;Leguminosae;Swartzia;simplex;Swartzia simplex;;21,5;14,6;;;22;9,3;0,9;0,77;Species;35;;No;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Mammals / Fragmentation;;;x;N;;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Burseraceae;Protium;Protium heptaphyllum;Accepted;Burseraceae;Protium;heptaphyllum;Protium heptaphyllum;;;;;;;;0,62;0,77;Species;25;65;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Fabaceae;Hymenaea;Hymenaea courbaril;Accepted;Leguminosae;Hymenaea;courbaril;Hymenaea courbaril;legume;123,2;45,6;125;4,5;31,5;15,9;4,9;0,76;Species;60;90;Yes;;;7° 21' N;62° 52' W;florestas tropicais semidecíduas;Venezuela;Dasyprocta leporina;Agouti/Plant;Visual observation;;x;x;x;x;;1999;Asquith et al., 1999;"Asquith, N.M.; Terborgh, J.; Arnold, A.E.; Riveros, C.M. 1999. The fruits the agouti ate: Hymenaea courbaril seed fate when its disperser is absent. Journal of Tropical Ecology 15(2), pp. 229-235."
